"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHFA","CURDEP","PC_HHFA","A","1995",24.10395,
"AUS","HHFA","CURDEP","PC_HHFA","A","1996",23.47625,
"AUS","HHFA","CURDEP","PC_HHFA","A","1997",22.49758,
"AUS","HHFA","CURDEP","PC_HHFA","A","1998",21.0428,
"AUS","HHFA","CURDEP","PC_HHFA","A","1999",19.17023,
"AUS","HHFA","CURDEP","PC_HHFA","A","2000",18.94008,
"AUS","HHFA","CURDEP","PC_HHFA","A","2001",18.61125,
"AUS","HHFA","CURDEP","PC_HHFA","A","2002",19.46772,
"AUS","HHFA","CURDEP","PC_HHFA","A","2003",19.36045,
"AUS","HHFA","CURDEP","PC_HHFA","A","2004",18.12727,
"AUS","HHFA","CURDEP","PC_HHFA","A","2005",17.33466,
"AUS","HHFA","CURDEP","PC_HHFA","A","2006",16.73668,
"AUS","HHFA","CURDEP","PC_HHFA","A","2007",16.37337,
"AUS","HHFA","CURDEP","PC_HHFA","A","2008",21.61337,
"AUS","HHFA","CURDEP","PC_HHFA","A","2009",20.29067,
"AUS","HHFA","CURDEP","PC_HHFA","A","2010",21.32404,
"AUS","HHFA","CURDEP","PC_HHFA","A","2011",23.03138,
"AUS","HHFA","CURDEP","PC_HHFA","A","2012",21.92099,
"AUS","HHFA","CURDEP","PC_HHFA","A","2013",21.96385,
"AUS","HHFA","CURDEP","PC_HHFA","A","2014",21.93866,
"AUS","HHFA","CURDEP","PC_HHFA","A","2015",22.14555,
"AUS","HHFA","CURDEP","PC_HHFA","A","2016",21.77424,
"AUS","HHFA","CURDEP","PC_HHFA","A","2017",21.40328,
"AUS","HHFA","CURDEP","PC_HHFA","A","2018",21.85715,
"AUS","HHFA","CURDEP","PC_HHFA","A","2019",20.17633,
"AUS","HHFA","CURDEP","PC_HHFA","A","2020",21.5677,
"AUS","HHFA","CURDEP","PC_HHFA","A","2021",21.64329,
"AUS","HHFA","CURDEP","PC_HHFA","A","2022",23.78088,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1995",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1996",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1997",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1998",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1999",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2000",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2001",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2002",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2003",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2004",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2005",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2006",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2007",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2008",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2009",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2010",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2011",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2012",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2013",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2014",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2015",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1995",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1996",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1997",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1998",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1999",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2000",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2001",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2002",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2003",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2004",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2005",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2006",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2007",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2008",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2009",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2010",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2011",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2012",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2013",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2014",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2015",0,
"AUS","HHFA","PENSIONF","PC_HHFA","A","1995",46.23854,
"AUS","HHFA","PENSIONF","PC_HHFA","A","1996",46.87456,
"AUS","HHFA","PENSIONF","PC_HHFA","A","1997",48.39812,
"AUS","HHFA","PENSIONF","PC_HHFA","A","1998",47.54916,
"AUS","HHFA","PENSIONF","PC_HHFA","A","1999",50.01109,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2000",50.4437,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2001",49.99143,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2002",48.52645,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2003",47.96112,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2004",48.84361,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2005",49.71505,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2006",52.2219,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2007",54.8337,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2008",50.41364,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2009",53.91072,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2010",54.04612,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2011",52.56032,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2012",55.26638,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2013",55.56889,
